Date,EtherPrice,ADA_Price(USDT),BNB_Price(USDT),BNB_Volume(USDT),BNB_Tradecount,BTC_Price(USDT),BTC_Tradecount,EOS_Price(USDT),EOS_Volume(USDT),EOS_Tradecount,ETC_Price(USDT),ETC_Volume(USDT),ETC_Tradecount,ETH_Volume(USDT),ETH_Tradecount,LTC_Price(USDT),LTC_Volume(USDT),LTC_Tradecount,TRX_Price(USDT),TRX_Volume(USDT),TRX_Tradecount,XLM_Price(USDT),XRP_Price(USDT),BTC-Dominance,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockDifficulty,BlockSize,DailyActiveEthAddress,GasLimit,GasUsed,NetworkHash,tokenerc-20txns-ERC20 daily token transfer,TransactionFee,TxGrowth- Ethereum daily transactions,verified-contracts,USD_EURO,USD_YUAN,Gold_Price,NASDAQ_Ind,GOOGLE_TREND,TWEETS,Target
1/1/2018,0.164080461,0,0.006105831,0.027982084,0.004086821,0.172016217,0.014746516,0,0,0,0,0,0,0.009326365,0.012058022,0.571073601,0.002429335,0.008609118,0,0,0,0,0,0.156645996,0,0.008591816,0.022749577,0.033816221,0.21380805,0.464396476,0.000171293,0.19028397,0.044657332,0.038070953,0.013564891,0.395218387,0.0859375,0.229268303,0.264200503,0.13539783,0.2864444,0.142623954,0.333122042,756.2
1/2/2018,0.189894518,0,0.006234571,0.058250207,0.006963119,0.180023203,0.026162413,0,0,0,0,0,0,0.022082017,0.024186435,0.604846771,0.008831525,0.018260723,0,0,0,0,0,0.015637638,0.001980944,0.010776176,0.027031281,0.032212798,0.340371517,0.673330056,0.00023349,0.230918427,0.043899332,0.059048629,0.020183056,0.578670545,0.080729167,0.2149918,0.247455401,0.153820072,0.302495508,0.25831463,0.423132184,861.97
1/3/2018,0.209206859,0,0.006892207,0.042564145,0.005673084,0.192948021,0.023797824,0,0,0,0,0,0,0.016877253,0.01991874,0.627909634,0.010031961,0.019823088,0,0,0,0,0,0.015637638,0.004334457,0.012960536,0.029314934,0.029051999,0.388173375,0.739786153,0.000338868,0.218164261,0.043402134,0.049017693,0.024642103,0.641641126,0.111979167,0.225182519,0.258399912,0.15585443,0.308484727,0.24117527,0.396868661,941.1
1/4/2018,0.210117197,0,0.00722168,0.043415138,0.005995147,0.196025017,0.024988427,0,0,0,0,0,0,0.019854653,0.022403551,0.607617171,0.011044648,0.022839693,0,0,0,0,0,0.015637638,0.006924844,0.014416776,0.037052932,0.027673229,0.413106295,0.853445637,0.000474701,0.211460286,0.050636694,0.023104442,0.030274583,0.725403216,0.111979167,0.207878397,0.248002627,0.154837251,0.312677181,0.326872067,0.4443881,944.83
1/5/2018,0.215559699,0,0.011517221,0.133005305,0.011116536,0.213018692,0.028574481,0,0,0,0,0,0,0.018668152,0.020924432,0.61003056,0.009086742,0.015834989,0,0,0,0,0,0.015637638,0.0094474,0.034512888,0.109780078,0.033504901,0.407636739,0.835111268,0.000420653,0.197603095,0.05836393,0.036966515,0.070171321,0.666761516,0.1328125,0.220592509,0.243624822,0.159584087,0.313316031,0.284023669,0.412546484,967.13
1/6/2018,0.225146313,0,0.021884945,0.151192722,0.01517017,0.22975699,0.023078524,0,0,0,0,0,0,0.013204742,0.01501283,0.670936509,0.014408351,0.021913523,0,0,0,0,0,0.015637638,0.011716419,0.042813456,0.125900783,0.028244086,0.391929825,0.783480052,0.00047084,0.208795785,0.051822828,0.044184942,0.080966909,0.632945174,0.098958333,0.220592509,0.243624822,0.159584087,0.313316031,0.232605591,0.410475828,1006.41
1/7/2018,0.252319775,0,0.02473632,0.072239004,0.009858795,0.22300948,0.017068849,0,0,0,0,0,0,0.01177,0.014562868,0.71237826,0.005935798,0.012228061,0,0,0,0,0,0.015637638,0.01355645,0.040337848,0.095730354,0.036230967,0.363261094,0.690350299,0.000451823,0.224934647,0.063530962,0.057303572,0.063834781,0.577761487,0.140625,0.220592509,0.243624822,0.159584087,0.313316031,0.288308508,0.431626099,1117.75
1/8/2018,0.256800687,0,0.021148695,0.100517073,0.010665068,0.205536779,0.031054918,0,0,0,0,0,0,0.031877089,0.029448272,0.678690772,0.010758467,0.017737569,0,0,0,0,0,0.015637638,0.015556037,0.03931848,0.094387259,0.044783434,0.38877193,0.762398387,0.000506014,0.214682333,0.063067479,0.056675529,0.064538841,0.624750178,0.140625,0.254412872,0.254022108,0.160601266,0.308564584,0.326872067,0.169899425,1136.11
1/9/2018,0.29417335,0,0.020305109,0.060571191,0.009009314,0.190392017,0.022827521,0,0,0,0,0,0,0.023252321,0.026012456,0.643432439,0.007438589,0.013316419,0,0,0,0,0,0,0.017656303,0.045434688,0.098863872,0.045358167,0.399814241,0.848405579,0.000476988,0.204266709,0.067031522,0.048460666,0.068059141,0.655276989,0.158854167,0.28080326,0.286089526,0.15625,0.30928329,0.326872067,0.511156187,1289.24
1/10/2018,0.284349999,0,0.019889476,0.05377278,0.008993278,0.190438229,0.023590343,0,0,0,0,0,0,0.032167986,0.033001766,0.636606403,0.009966861,0.015506788,0,0,0,0,0,0,0.019835237,0.056356488,0.125407669,0.044798163,0.350464396,0.761854185,0.000499437,0.209700704,0.074027503,0.043855756,0.082375029,0.596454076,0.119791667,0.262151379,0.263324943,0.163822333,0.312956678,0.408284024,0.543335869,1248.99
